LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
LINC00968	NA	100507632	ENSG00000246430	NR_038236	GRCh38_8:56496246-56559823	non small cell lung cancer	C34	M8046/3	qPCR, Western blot, in vitro knockdown etc.	cell line (BEAS-2B, A549, H1299, SPCA1 and H358), LUAD tumor tissues	up-regulated	LINC00968 was significantly increased in LUAD tissues, LUSC tissues and NSCLC cells compared to their corresponding controls. Inhibition of  Additionally, downregulation of LINC00968 induced apoptosis capacity of A549 cell. Apoptosis-related proteins BCL-2 were decreased and BAX was increased by knockdown of LINC00968, respectively. Meanwhile we observed that Wnt signaling pathway was involved in the LINC00968-induced NSCLC progression. Finally, in vivo tumor xenografts were established using A549 cells to detect the function of LINC00968 in NSCLC tumorigenesis. Silencing LINC00968 greatly inhibited NSCLC tumor progression, which was consistent with the in vitro tests. In conclusion, we have uncovered that LINC00968 could be regarded as a novel prognostic biomarker and therapeutic target in NSCLC diagnosis and treatment.  	28926089	2017	Long non-coding RNA LINC00968 acts as oncogene in NSCLC by activating the Wnt signaling pathway. 	0	0	1	0	0	0	0
LINC00968	NA	100507632	ENSG00000246430	NR_038236	GRCh38_8:56496246-56559823	lung adenocarcinoma	C34	M8140/3	qPCR, RNAi, Cell proliferation assay etc.	lung cancer tissues, cell line (A549)	down-regulated	We detected 6 lncRNAs including 3 that were up-regulated (LINC00511, AFAP1-AS1, CASC9) and 3 down-regulated (LINC00968, TINCR, LINC00035) in 20 paired LUAD and LUSC and normal tissues to evaluate the analysis results. The results of qPCR showed that all the chosen lncRNA expressions were increased or decreased in LUAD or LUSC tissues compared with those in the normal tissues, which is consistent with the bioinformatic analysis results.	27797003	2016	Transcriptome analysis of distinct long non-coding RNA transcriptional fingerprints in lung adenocarcinoma and squamous cell carcinoma.	0	0	0	0	0	0	0
LINC00968	NA	100507632	ENSG00000246430	NR_038236	GRCh38_8:56496246-56559823	lung squamous cell carcinoma	C34	M8070/3	qPCR, RNAi, Cell proliferation assay etc.	lung cancer tissues, cell line (SK-MES-1)	down-regulated	We detected 6 lncRNAs including 3 that were up-regulated (LINC00511, AFAP1-AS1, CASC9) and 3 down-regulated (LINC00968, TINCR, LINC00035) in 20 paired LUAD and LUSC and normal tissues to evaluate the analysis results. The results of qPCR showed that all the chosen lncRNA expressions were increased or decreased in LUAD or LUSC tissues compared with those in the normal tissues, which is consistent with the bioinformatic analysis results.	27797003	2016	Transcriptome analysis of distinct long non-coding RNA transcriptional fingerprints in lung adenocarcinoma and squamous cell carcinoma.	0	0	0	0	0	0	0
LINC00968	NA	100507632	ENSG00000246430	NR_038236	GRCh38_8:56496246-56559823	osteosarcoma	NA	M9180/3	qPCR, Western blot, etc.	cell lines (U2OS, MG63, Saos-2, SW1353, 143-B, hFOB)	up-regulated	overexpression of LINC00968 promoted osteosarcoma cell survival and cell colony formation ability in Saos-2 and 143-B cells. In addition, LINC00968 was able to induce osteosarcoma cell migration and invasion through up-regulating MMP-2 and MMP-9 protein levels. Knockdown of LINC00968 inactivated PI3K/AKT/mTOR signaling pathway in vitro.	29904919	2018	LINC00968 functions as an oncogene in osteosarcoma by activating the PI3K/AKT/mTOR signaling.	0	0	1	0	0	0	0
LINC00969	NA	NA	NA	NA	NA	prostate cancer	C61.9	NA	microarray, qPCR etc.	prostate cancer tissues, cell lines (LNCaP)	up-regulated	Five lncRNAs, RP1-4514.2, SUZ12P1, SNHG5, LINC01138, and SNHG1, were down-regulated under DHT treatment. Five lncRNAs, KLKP1, LINC00969, LINC-PINT, TUG1 and MIR17HG, were up-regulated under DHT treatment. Notably, RP1-4514.2 and LINC01138 were induced and KLKP1 was reduced over 2 fold after AR silenced, suggesting the involvement of AR in androgen-mediated regulation of these lncRNAs expressions.	27556357	2016	Identification of androgen-responsive lncRNAs as diagnostic and prognostic markers for prostate cancer.	1	0	0	0	0	0	0
LINC00969	NA	NA	NA	NA	NA	prostate cancer	C61.9	NA	microarray, qPCR etc.	prostate cancer tissues, cell lines (LNCaP)	down-regulated	To further validate the results, we examined the expression levels in 11 normal prostate tissues and 14 prostate cancer tissues with real-time PCR. All of these lncRNAs except LINC00969, were  expressed significantly higher in prostate cancer samples  compared with normal prostate tissues, which were consistent with the TCGA and microarray results. Then, the expression levels of ten lncRNAs were validated in the noncancerous prostatic cells WPMY-1 and four human prostate cancer cell lines by qRT-PCR. It turned out that most of  the ten lncRNAs were up-regulated in prostate cancer cell lines and showed a similar expression pattern in patient samples.	27556357	2016	Identification of androgen-responsive lncRNAs as diagnostic and prognostic markers for prostate cancer.	1	0	0	0	0	0	0
LINC00973	NA	100506377	ENSG00000240476	NA	GRCh38_3:98981058-98983096	colon cancer	C18	NA	RNA-seq, qPCR etc.	cell line (HCT-116 and HT-29)	up-regulated	The most frequent changes were detected for LINC00973, whose content is most strongly and consistently increased upon treatment of both colon cancer cell lines with all three chemotherapeutic drugs. 	29870803	2018	Expression of long non-coding RNA LINC00973 is consistently increased upon treatment of colon cancer cells with different chemotherapeutic drugs.	1	0	0	0	0	0	0
LINC00974	NA	147093	ENSG00000226629	NR_038442	GRCh38_17:41549606-41554495	hepatocellular carcinoma	C22.0	M8170/3	qPCR, RIP, in vitro knockdown etc.	HCC tissues, blood (plasma)	up-regulated	Knockdown of Linc00974 resulted in an inhibition of cell proliferation and invasion with an activation of apoptosis and cell cycle arrest in vitro.The combination of Linc00974 and KRT19 may be novel indices for clinical diagnosis of tumor growth and metastasis in HCC, while Linc00974 may become a potential therapeutic target for the prevention of HCC progression. We also discovered Linc00974F-1 stably expressed in the plasma.	25476897	2014	A novel biomarker Linc00974 interacting with KRT19 promotes proliferation and metastasis in hepatocellular carcinoma.	0	1	0	1	0	0	1
LINC01006	NA	100506380	ENSG00000182648	NR_026865	GRCh38_7:156472196-156640654	gastric cancer	C16	NA	other	gastric cancer tissues, cell lines (GES-1,AGS and MGC-128 803)	down-regulated	LINC01006 levels in cancer tissues were significantly lower than those in adjacent normal tissues (P< 0.001) and healthy control tissues. Its expression was associated with age (P= 0.013), tumor location, tumor size, and venous invasion. 	29060927	2017	Long intergenic non-protein coding RNA 1006 used as a potential novel biomarker of gastric cancer.	0	0	0	0	0	0	0
LINC01013	NA	100507254	ENSG00000228495	NR_038981	GRCh38_6:132131915-132169374	anaplastic large-cell lymphoma	NA	M9714/3	qPCR, RNAi, Cell migration and invasion assay etc.	ALCL tumor tissues, cell lines (SR-786, KARPAS-299)	up-regulated	LINC01013 was highly expressed in clinical specimens of ALCL and was significantly upregulated in invasive ALCL cell lines. Knockdown of LINC01013 suppressed tumor cell invasion; conversely, its overexpression enhanced tumor cell invasion. LINC01013-induced invasion was mediated by activation of the epithelial-to-mesenchymal transition (EMT)-associated proteins, snail and fibronectin. Specifically, LINC01013 induced snail, resulting in activation of fibronectin and enhanced ALCL cell invasion.	28331184	2017	The long non-coding RNA LINC01013 enhances invasion of human anaplastic large-cell lymphoma.	0	0	0	0	0	0	0
LINC01021	NA	NA	NA	NA	GRCh38_5:27472292-27496401	colorectal cancer	C19.9	NA	RNA-seq, qPCR, Western blot, Luciferase reporter assay, pSILAC etc.	cell line (SW480)	up-regulated	Ectopic LINC01021 expression inhibited proliferation in SW480 cells. 	26183718	2015	p53-regulated networks of protein, mRNA, miRNA and lncRNA expression revealed by integrated pSILAC and NGS analyses.	0	0	0	1	0	0	0
LINC01021	NA	NA	NA	NA	GRCh38_5:27472292-27496401	colorectal cancer	C19.9	NA	qPCR, Luciferase reporter assay, Western blot etc.	cell lines (HCT116, SW48, RKO)	up-regulated	LINC01021 is an integral part of the p53-mediated response to DNA damage. Inactivation of LINC01021 and also its ectopic expression did not affect p53 protein expression and transcriptional activity, implying that LINC01021 does not feedback to p53. Furthermore, in CRC patient samples LINC01021 expression positively correlated with a wild-type p53-associated gene expression signature. LINC01021 expression was increased in primary colorectal tumors and displayed a bimodal distribution that was particularly pronounced in the mesenchymal CMS4 consensus molecular subtype of CRCs. CMS4 tumors with low LINC01021 expression were associated with poor patient survival. 	29262524	2017	Loss of p53-inducible long non-coding RNA LINC01021 increases chemosensitivity	1	0	1	0	0	0	0
LINC01060	NA	401164	ENSG00000249378	NR_033869	GRCh38_4:188400736-188681051	pancreatic cancer	C25	NA	microarray, RIP, etc.	pancreatic cancer tissues, cell lines (PANC-1, MIA-PaCa-2, ASPC-1, SW1990, BXPC-3, CFPAC-1, Panc 03.27, HPDE)	down-regulated	Lower Linc01060 expression in pancreatic cancer tissues was significantly associated with a poor prognosis.  Linc01060 inhibited pancreatic cancer proliferation and invasion in vitro and in vivo. These data demonstrate that Linc01060 plays a key role in suppressing pancreatic cancer progression by regulating vinculin expression.	29913236	2018	Loss of Linc01060 induces pancreatic cancer progression through vinculin-mediated focal adhesion turnover.	0	0	1	0	0	0	0
LINC01082	TCONS_00024492	100506542	ENSG00000269186	NR_103859	GRCh38_16: 86196181-86199720	bladder cancer	C22.0	M8170/3	RT-PCR, ect.	bladder tumor and adjacent normal tissues	down-regulated	The expression levels of LINC00152, and LINC01082 were significantly lower in tumor tissues in comparison with their adjacent normal tissues (P<0.001). in the case of LINC01082 the reduced expression was differentiated by the muscle invasiveness pattern of the tumor (P= 0.05).	29988223	2018	Dysregulated Expression of Long Intergenic Non-coding RNAs (LincRNAs) in Urothelial Bladder Carcinoma.	0	0	0	0	0	0	0
LINC01088	NA	100505875	ENSG00000249307	NR_038342	GRCh38_4:78971748-79308798	ovarian cancer	C56.9	NA	Microarray, RT-qPCR, Western blot, Luciferase reporter assay	malignant epithelial ovarian tumor tissue, human ovarian cancer cell line A2780	down-regulated	the expression of long intergenic non-coding RNA 1088 (LINC01088) was clearly reduced in benign epithelial ovarian tumor tissues compared to matched normal ovarian tissues. This was shown by global cDNA gene chip scanning and real-time qPCR, and validated in 42 clinical specimens.Furthermore, we found that LINC01088 inhibited the growth of ovarian cancer xenografts in nude mice.Correlation analysis between LINC01088 and mircoRNAs (miRNAs) conducted using primary clinical samples and RNA co-precipitation experiments revealed that miR-24-1-5p was one of the targets of LINC01088. Overexpression of miR-24-1-5p facilitated cell proliferation both in vitro and in vivo, however, LINC01088 could partially reverse the cell proliferation induced by miR-24-1-5p.	29440672	2018	LINC01088 inhibits tumorigenesis of ovarian epithelial cells by targeting miR-24-1-5p.	0	0	1	1	0	0	0
LINC01089	LINC01089, LIMT	338799	ENSG00000212694	NR_002809	GRCh38_12:121795267-121803906	breast cancer	C50	NA	microarray, qPCR, RNAi, Cell migration and invasion assay etc.	cell lines (MCF10A, MDA-MB-231)	down-regulated	Functional analyses of this group uncovered LINC01089 (here renamed LncRNA Inhibiting Metastasis; LIMT), a highly conserved lncRNA, which is depleted in basal-like and in HER2-positive tumors, and the low expression of which predicts poor patient prognosis. Interestingly, EGF rapidly downregulates LIMT expression by enhancing histone deacetylation at the respective promoter. We also find that LIMT inhibits extracellular matrix invasion of mammary cells in vitro and tumor metastasis in vivo.	27485121	2016	LIMT is a novel metastasis inhibiting lncRNA suppressed by EGF and downregulated in aggressive breast cancer.	0	0	1	0	0	0	0
LINC01089	LINC01089, LIMT	338799	ENSG00000212694	NR_002809	GRCh38_12:121795267-121803906	astrocytoma	NA	M9400/3 	qPCR etc.	astrocytoma tissues	up-regulated	Our analysis ultimately generated a list of 7 lncRNAs that were differentially expressed in astrocytomas in comparison to the NAT samples. Among these lncRNAs, ENST00000244906, ENST00000545440, NR_002809 and ENST00000436616 were shown to be upregulated by a factor greater than twofold, whereas 3 lncRNAs, XLOC_010967, BC002811 and ASO1937, were shown to be downregulated by a factor greater than twofold.	26252651	2016	The Use of Three Long Non-Coding RNAs as Potential Prognostic Indicators of Astrocytoma.	0	0	1	0	0	0	0
LINC01093	NA	100506229	ENSG00000249173	NR_039975	GRCh38_4:184893871-184899454	hepatocellular carcinoma	C22.0	M8170/3	RNA-seq, qPCR etc.	HCC tissues	down-regulated	We found that LINC01093, FAM99A and CRNDE were differentially expressed in HCC compared with cirrhotic tissues, confirming the data we obtained in the RNA-Seq experiment. Moreover, we found that LINC01093 and FAM99A were already significantly downregulated in cirrhotic tissues compared with normal livers.	26887054	2016	Identification of novel long non-coding RNAs deregulated in hepatocellular carcinoma using RNA-sequencing.	0	0	0	0	0	0	0
LINC01101	FLJ14816	84931	ENSG00000280409	NA	GRCh38_2:120464335-120466218	cervical cancer	C53	M8070/3	microarray analysis, qRT-PCR, Western blot,RNAi	cervical cancer tissues, cell lines (HeLa)	down-regulated	Both lincRNAs investigated display a significantly reduced pattern of expression in cervical lesions and cancer, associated with clinical parameters. A connection between HPV presence and lincRNAs was noted. hrHPV-positive samples exhibit significantly reduced LINC01101 and LINC00277 expression level.	28767188	2017	LINC01101 and LINC00277 expression levels as novel factors in HPV-induced cervical neoplasia.	0	0	0	0	0	0	0
LINC01105	NA	150622	ENSG00000232044	NR_026832	GRCh38_2:5932687-6001275	neuroblastoma	NA	M9500/3	microarray, qPCR, Western blot, Cell proliferation assay, in vitro knockdown etc.	neuroblastoma tissues	up-regulated	HCN3 and linc01105 exhibited the higher expression in neuroblastoma tissue, whereas MEG3 displayed the lower expression. Moreover, linc01105 knockdown promoted cell proliferation, whereas MEG3 overexpression inhibited proliferation. Finally, linc01105 knockdown, MEG3 overexpression and HCN3 knockdown all increased apoptosis. 	27824082	2016	MEG3, HCN3 and linc01105 influence the proliferation and apoptosis of neuroblastoma cells via the HIF-1a and p53 pathways.	0	0	0	0	0	0	0
LINC01105	LINC01105	150622	ENSG00000232044	NR_026832	GRCh38_2:5932687-6001275	gastric cancer	C16	NA	microarray, qPCR, RNAi etc.	gastric cancer tissues	down-regulated	LncRNA M59227 and 3 mRNAs, PLK1, PTTG1 and VCAN, were overexpressed in GC. In contrast, the expression of 4 lncRNAs, LOC150622, AKR7 L, DQ192290 and BC040587, and 2 mRNAs, DRD5 and GDF5, were downregulated in GC.The results indicated that TUSC7 is a p53-regulated tumour suppressor that acts in part by repressing miR-23b and that TUSC7 may be a key regulatory hub in GC.	25765901	2015	Reciprocal repression between TUSC7 and miR-23b in gastric cancer.	0	0	0	0	0	0	0
